"","R2gainPvalue","R2losePvalue","AshiftPvalue","phasePvalue","intshiftPvalue"
"BTAF1",0.66433415657219,0.33566584342781,0.705757445084741,0.452206410809257,0.600742221699531
"LINC00461",0.664484430331778,0.335515569668222,0.688783043893005,0.831824062095731,0.37510943849883
"AKAP17A",0.664490963973499,0.3355090360265,0.558724371790349,0.815601029701935,0.369823722346361
"ZFX",0.664497497615221,0.335502502384779,0.722575038875168,0.608412717080246,0.548303213244999
"ADAM10",0.664517098540384,0.335482901459616,0.915912031047865,0.90006141623218,0.641276934937996
"CCL28",0.664556300390712,0.335443699609288,0.281136069622486,0.0352359298025533,0.79478484717812
"TMEM222",0.664562834032433,0.335437165967567,0.594175911769702,0.770120349680505,0.905203392266782
"TRIM68",0.66465430501653,0.33534569498347,0.507030198492036,0.621610673357116,0.6175728827734
"X5.Mar",0.664686973225136,0.335313026774864,0.583330066512473,0.541077005501326,0.93025990826767
"ZNF846",0.664713107792021,0.335286892207979,0.715910724319521,0.770296758006978,0.568145883152351
"NECAP1",0.664778444209233,0.335221555790767,0.884838031021731,0.77826780090687,0.44837769676062
"CNTN5",0.664961386177428,0.335038613822572,0.723836031727364,0.535680217439596,0.704568322291479
"CCDC25",0.665111659937016,0.334888340062984,0.612372103963307,0.825179348465248,0.706495746599239
"GOLGA2P7",0.665392606531028,0.334607393468972,0.424895788414546,0.174043148169927,0.782658408143531
"BMP8B",0.665569014857501,0.334430985142499,0.309171926248252,0.828740183203314,0.895494400669045
"BCKDHA",0.665575548499223,0.334424451500777,0.32310818403962,0.403439309002052,0.605557515648072
"TMX2",0.665582082140944,0.334417917859056,0.746070014504685,0.97280044951455,0.730056058645968
"BTF3",0.665706221333647,0.334293778666353,0.624354802880029,0.146477713748089,0.475596848171234
"LRRC3B",0.665804225959465,0.334195774040535,0.5740718961935,0.855018490206071,0.0424948057548317
"SNHG12",0.666039437061429,0.333960562938571,0.459504488611862,0.495073634142198,0.56776693193252
"TRAF3IP1",0.666143975328969,0.333856024671031,0.843218733257543,0.999607981496727,0.269408182732892
"AMACR",0.666235446313066,0.333764553686934,0.13996367295203,0.156670194833196,0.573137585427365
"PDE9A",0.666313850013721,0.333686149986279,0.449410012152574,0.079285742287036,0.547728252773531
"PLCE1",0.666372652789212,0.333627347210788,0.648895161184941,0.684804056084781,0.12922236596234
"MPHOSPH8",0.666483724698473,0.333516275301528,0.694127562820965,0.913873534830844,0.115834934075555
"ZEB1",0.666490258340194,0.333509741659806,0.496589439021522,0.538012727534073,0.870045866164883
